species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,date,year,month,day,day_of_year
Adelie,Biscoe,38.1,16.5,198,3825,female,2009-09-10,2009,September,10,253
Adelie,Biscoe,39.6,20.7,191,3900,female,2009-06-20,2009,June,20,171
Gentoo,Biscoe,43.5,15.2,213,4650,female,2009-05-19,2009,May,19,139
Gentoo,Biscoe,NA,NA,NA,NA,NA,2009-01-12,2009,January,12,12
Chinstrap,Dream,45.2,17.8,198,3950,female,2007-01-20,2007,January,20,20
Adelie,Biscoe,38.6,17.2,199,3750,female,2009-02-13,2009,February,13,44
Adelie,Dream,36.5,18,182,3150,female,2007-05-05,2007,May,5,125
Adelie,Biscoe,37.7,16,183,3075,female,2009-09-11,2009,September,11,254
Chinstrap,Dream,NA,19.5,210,3950,male,2008-10-05,2008,October,5,279
Chinstrap,Dream,45.5,17,196,3500,female,2008-03-08,2008,March,8,68
Adelie,Dream,40.8,18.9,208,4300,male,2008-09-05,2008,September,5,249
Gentoo,Biscoe,47.5,14.2,NA,4600,female,2008-09-04,2008,September,4,248
Gentoo,Biscoe,42.8,14.2,209,4700,female,2007-06-04,2007,June,4,155
Gentoo,Biscoe,47.3,15.3,222,5250,male,2007-12-12,2007,December,12,346
Adelie,Dream,37.5,18.9,179,2975,NA,2007-04-28,2007,April,28,118
Gentoo,Biscoe,45.1,14.4,210,4400,female,2008-11-15,2008,November,15,320
Gentoo,Biscoe,47.6,14.5,215,5400,male,2007-03-28,2007,March,28,87
Gentoo,Biscoe,45.3,13.8,208,4200,female,2008-09-14,2008,September,14,258
